DATE,SIPOVGINIARG
1980-01-01,40.8
1981-01-01,.
1982-01-01,.
1983-01-01,.
1984-01-01,.
1985-01-01,.
1986-01-01,42.8
1987-01-01,45.3
1988-01-01,.
1989-01-01,.
1990-01-01,.
1991-01-01,46.8
1992-01-01,45.5
1993-01-01,44.9
1994-01-01,45.9
1995-01-01,48.9
1996-01-01,49.5
1997-01-01,49.1
1998-01-01,50.7
1999-01-01,49.8
2000-01-01,51.1
2001-01-01,53.3
2002-01-01,53.8
2003-01-01,50.9
2004-01-01,48.4
2005-01-01,47.7
2006-01-01,46.3
2007-01-01,46.2
2008-01-01,44.9
2009-01-01,43.7
2010-01-01,43.6
2011-01-01,42.6
2012-01-01,41.3
2013-01-01,40.9
2014-01-01,41.6
2015-01-01,.
2016-01-01,42.0
2017-01-01,41.1
2018-01-01,41.3
2019-01-01,42.9
2020-01-01,42.3
2021-01-01,42.0
