DATE,RGDPNAARA666NRUG
1950-01-01,196688.453125
1951-01-01,208305.203125
1952-01-01,195898.25
1953-01-01,204164.875
1954-01-01,210812.5625
1955-01-01,225537.46875
1956-01-01,231485.484375
1957-01-01,240381.421875
1958-01-01,256257.3125
1959-01-01,243846.953125
1960-01-01,270342.0
1961-01-01,279138.9375
1962-01-01,280924.875
1963-01-01,270609.3125
1964-01-01,291641.65625
1965-01-01,318469.59375
1966-01-01,319221.28125
1967-01-01,328118.75
1968-01-01,345067.46875
1969-01-01,376695.96875
1970-01-01,388737.78125
1971-01-01,403358.84375
1972-01-01,411739.4375
1973-01-01,427155.53125
1974-01-01,450247.1875
1975-01-01,447577.0
1976-01-01,447527.03125
1977-01-01,476099.0625
1978-01-01,460762.96875
1979-01-01,493095.28125
1980-01-01,500260.78125
1981-01-01,473161.90625
1982-01-01,458204.09375
1983-01-01,477047.0625
1984-01-01,486614.21875
1985-01-01,452764.90625
1986-01-01,485108.6875
1987-01-01,497395.5
1988-01-01,487682.625
1989-01-01,453493.375
1990-01-01,447422.84375
1991-01-01,494384.53125
1992-01-01,545328.4375
1993-01-01,579420.625
1994-01-01,613236.9375
1995-01-01,595788.8125
1996-01-01,628716.125
1997-01-01,679711.625
1998-01-01,705881.75
1999-01-01,681984.4375
2000-01-01,676603.6875
2001-01-01,646773.3125
2002-01-01,576310.625
2003-01-01,627239.5
2004-01-01,683876.5
2005-01-01,744411.0
2006-01-01,804314.8125
2007-01-01,876764.6875
2008-01-01,912337.0625
2009-01-01,858340.1875
2010-01-01,945250.5625
2011-01-01,1002002.9375
2012-01-01,991718.125
2013-01-01,1015572.1875
2014-01-01,990054.75
2015-01-01,1017094.75
2016-01-01,995935.8125
2017-01-01,1022513.25
2018-01-01,997136.625
2019-01-01,975569.0
